,label,Blob Polarity,Blob Subjectivity,Capitalization,Negative Sentiment,POS_1,POS_2,POS_3,POS_4,Positive Sentiment,Topic :,first half Blob Polarity,first half Blob Subjectivity,first half sentiment,negative Sentiment first half,negative Sentiment second half,positive Sentiment first half,positive Sentiment second half,second half Blob Polarity,second half Blob Subjectivity,second half sentiment,sentiment
47,0,0.0,0.0,1,0.659090909091,5.0,0.0,7.0,3.0,0.136363636364,0.668333333333,0.0,0.0,-0.625,0.625,0.0340909090909,0.0,0.136363636364,0.0,0.0,0.102272727273,-0.522727272727
48,0,-0.5,0.5,0,0.0,3.0,0.0,4.0,1.0,0.0958333333333,,0.0,0.0,0.075,0.0,0.0,0.075,0.0208333333333,-0.5,0.5,0.0208333333333,0.0958333333333
49,0,-0.0833333333333,0.6,0,0.0833333333333,2.0,1.0,4.0,2.0,0.198863636364,,0.333333333333,0.5,0.11553030303,0.0833333333333,0.0,0.198863636364,0.0,-0.5,0.7,0.0,0.11553030303
50,1,-0.0291666666667,0.433333333333,1,0.518518518519,4.0,3.0,2.0,1.0,0.18287037037,0.801,0.3125,0.3,0.143518518519,0.0185185185185,0.5,0.162037037037,0.0208333333333,-0.2,0.5,-0.479166666667,-0.335648148148
51,1,-0.2,1.0,1,0.4375,5.0,0.0,3.0,1.0,0.283482142857,0.335,0.1,1.0,-0.171875,0.4375,0.0,0.265625,0.0178571428571,-0.5,1.0,0.0178571428571,-0.154017857143
52,0,0.0,0.0,0,0.868818681319,5.0,0.0,4.0,3.0,0.17032967033,0.5025,0.0,0.0,-0.1875,0.1875,0.681318681319,0.0,0.17032967033,0.0,0.0,-0.510989010989,-0.698489010989
53,1,0.316666666667,0.577777777778,0,1.00833333333,5.0,2.0,0.0,1.0,0.2375,0.5025,0.375,0.666666666667,0.0791666666667,0.025,0.983333333333,0.104166666667,0.133333333333,0.2,0.4,-0.85,-0.770833333333
54,1,-0.3,0.4,1,0.0,5.0,1.0,4.0,1.0,0.0,0.668333333333,-0.3,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,1,0.5,1.0,0,0.369318181818,0.0,1.0,5.0,1.0,0.46875,,0.5,1.0,0.15625,0.3125,0.0,0.46875,0.0,0.0,0.0,0.0,0.0994318181818
56,1,0.5,0.6,0,0.03125,3.0,0.0,2.0,2.0,1.125,0.5025,0.5,0.6,1.09375,0.03125,0.0,1.125,0.0,0.0,0.0,0.0,1.09375
57,1,0.0,0.5,0,0.159090909091,4.0,2.0,3.0,0.0,0.183238636364,0.5025,0.0,0.0,0.046875,0.0,0.125,0.046875,0.625,0.0,0.5,0.5,0.0241477272727
58,0,0.25,0.6,0,0.713010089326,5.0,3.0,8.0,2.0,1.04801134538,,0.0,0.0,0.0921052631579,0.0526315789474,0.660378510379,0.144736842105,0.903274503275,0.25,0.6,0.242895992896,0.335001256054
59,0,0.3,0.125,0,0.104166666667,5.0,2.0,6.0,1.0,0.9875,,0.0,0.0,0.1,0.0,0.104166666667,0.1,0.8875,0.6,0.25,0.783333333333,0.883333333333
60,1,0.158333333333,0.458333333333,0,0.791666666667,3.0,3.0,3.0,1.0,1.21875,0.668333333333,0.5,0.6,0.583333333333,0.0416666666667,0.75,0.625,0.59375,-0.0125,0.3875,-0.15625,0.427083333333
61,0,0.0,0.0,0,0.845982142857,3.0,0.0,4.0,1.0,0.239732142857,,0.0,0.0,-0.75,0.767857142857,0.078125,0.0178571428571,0.221875,0.0,0.0,0.14375,-0.60625
62,0,-0.15,0.6,1,0.998579545455,9.0,1.0,3.0,3.0,0.676136363636,,0.2,0.2,0.380681818182,0.170454545455,0.828125,0.551136363636,0.125,-0.5,1.0,-0.703125,-0.322443181818
63,1,0.5,1.0,0,0.413352272727,7.0,2.0,4.0,2.0,1.13683712121,0.220876616875,0.5,1.0,0.712121212121,0.413352272727,0.0,1.12547348485,0.0113636363636,0.0,0.0,0.0113636363636,0.723484848485
64,1,-0.5,1.0,0,0.6375,3.0,0.0,1.0,2.0,0.1125,0.668333333333,0.0,0.0,0.0375,0.0125,0.625,0.05,0.0625,-0.5,1.0,-0.5625,-0.525
65,0,0.0,0.0,1,0.184090909091,3.0,1.0,5.0,1.0,0.211363636364,,0.0,0.0,0.0272727272727,0.184090909091,0.0,0.211363636364,0.0,0.0,0.0,0.0,0.0272727272727
66,0,0.0,0.0,1,0.0,11.0,0.0,0.0,0.0,0.0,0.104971784802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,0,-0.245833333333,0.345833333333,0,1.36012165831,1.0,0.0,7.0,4.0,0.478119778613,,-0.245833333333,0.345833333333,-0.384523809524,0.606101190476,0.722770467836,0.221577380952,0.262792397661,0.0,0.0,-0.459978070175,-0.882001879699
